source,target
0,6901
1,5904
2,5868
2,8862
5,8253
17,6804
17,6901
23,6901
24,6901
24,7494
27,5422
30,5455
31,10643
34,5750
34,7946
34,8774
37,6410
37,8857
40,6410
44,5868
54,4859
54,7910
56,4859
61,8145
61,8202
61,9210
65,12649
66,4859
67,9538
73,9043
74,9551
75,4859
75,7910
76,6013
78,7494
78,9075
80,4859
82,9043
83,7323
89,7973
89,8085
89,9028
90,8694
95,5455
95,6113
95,6804
95,6901
97,6901
99,8126
101,6545
102,4972
104,6901
106,5455
107,10643
117,8202
120,5191
120,6462
122,6655
127,6901
129,6113
130,10395
136,6059
138,6901
140,6113
141,6113
143,5065
148,11232
148,11490
151,5065
155,4858
155,5421
155,5455
155,6804
155,6901
155,6920
155,7494
155,7835
155,8123
155,8126
155,8145
155,8202
155,8382
155,8454
155,8564
155,8783
155,8806
155,8859
155,9025
155,9119
155,9190
155,9210
155,9302
155,9435
155,9448
158,5268
159,7986
159,9503
163,5455
165,6113
165,8441
167,6199
169,9586
170,6655
182,7494
185,8694
187,10395
189,11085
190,9551
192,6655
193,7494
194,9043
194,12805
196,7494
198,7835
205,6156
205,7835
205,8112
206,6153
209,9043
212,6598
216,5868
217,5268
218,6901
224,8253
232,4859
233,11085
236,4859
236,7910
240,6410
248,6804
248,6901
248,7494
250,6901
251,4712
254,6901
255,9395
259,8922
259,9302
263,8068
264,6901
269,6901
270,5849
270,8441
274,6199
275,5455
275,6113
275,7006
275,8145
280,8202
284,7813
286,7063
291,4859
291,7910
294,5231
294,5671
299,7620
300,8202
300,8427
302,5686
305,8253
307,6156
312,6804
314,6655
320,9118
320,9441
320,9482
327,8126
327,9551
330,8694
333,9586
342,8454
342,9337
344,7952
344,9427
346,5191
346,6462
347,5422
350,13496
351,5907
351,9293
351,9586
357,5868
357,8862
358,8454
359,12021
361,6199
361,6804
365,4482
365,6655
367,8202
367,8427
369,4859
376,6901
381,9503
393,6071
393,7986
393,9503
396,9520
402,4859
402,9587
408,8641
409,4859
411,8202
413,7169
416,7986
417,6901
419,7666
419,8345
420,6901
420,7494
421,5382
422,6113
423,6199
425,6901
427,6113
430,6410
432,8641
434,5268
435,6375
438,4984
439,4859
441,6831
441,7338
441,7478
441,8057
447,4591
447,6113
452,6156
453,5868
453,8862
456,8633
459,4859
460,8253
466,5907
469,6199
470,5868
470,8862
471,7494
472,4858
472,6901
472,6920
472,7835
472,8123
472,8202
472,8454
472,8783
472,8806
472,9025
472,9119
472,9190
472,9210
472,9435
474,6410
477,4859
479,6901
482,5190
482,8694
483,5904
485,4859
491,6901
493,8202
495,4859
496,6901
496,9118
496,9441
496,9482
501,10395
504,6113
507,8145
507,8206
507,8382
507,9365
508,5268
510,6199
510,6804
516,6113
517,5382
522,5455
522,6804
522,6901
522,9482
524,9586
526,6113
528,6199
529,4859
531,5088
533,4859
537,6199
538,9395
544,5190
547,6901
547,9441
547,9482
549,6804
549,6901
552,4859
555,9551
556,7494
556,9028
557,4859
558,8694
560,7071
563,5455
563,6113
563,6804
563,6901
564,9075
569,4858
569,5421
569,5455
569,6804
569,6901
569,7835
569,8123
569,8126
569,8202
569,8382
569,8564
569,8783
569,8806
569,8859
569,9025
569,9119
569,9190
569,9210
569,9302
569,9435
571,4859
573,6502
578,5907
578,6462
578,7494
579,6804
579,9586
581,8202
583,6804
583,6901
584,7494
586,5455
586,6113
586,8145
588,4908
588,5234
588,5637
588,13447
589,10582
594,5878
594,9503
596,6199
597,8145
598,5268
598,7323
600,7986
608,9168
612,13423
613,8068
615,6901
616,5849
616,8441
617,6059
619,6901
621,8126
624,6901
624,8695
625,5455
625,6113
625,6804
625,6901
627,5045
627,9463
628,4835
628,7551
629,5422
631,6410
635,8253
636,6156
636,6901
638,8145
641,8695
641,9049
641,9075
646,12649
648,6071
648,7986
648,9503
650,8253
652,4859
654,7835
657,6322
658,4712
658,7781
658,8126
658,8133
658,8695
660,6199
663,4859
668,6113
668,8145
672,6410
672,8857
674,8253
678,6410
679,6113
680,4859
682,4858
682,5421
682,6360
682,6920
682,7147
682,7835
682,8123
682,8126
682,8145
682,8202
682,8382
682,8454
682,8564
682,8783
682,8806
682,8859
682,9025
682,9119
682,9190
682,9210
682,9302
682,9435
690,4863
690,5849
692,6598
693,8694
694,6901
695,6901
696,6901
696,7494
698,5455
703,9380
704,6462
706,6901
708,7701
708,9538
710,9043
711,5786
713,8253
715,10875
716,6156
717,4859
720,8694
725,5455
725,6113
725,6804
725,6901
745,6901
752,7488
754,5455
754,6113
754,8145
755,8631
762,4859
763,6186
768,7336
769,13610
771,6545
774,9586
777,4859
778,6113
778,8441
784,5190
784,8694
785,6462
788,5268
788,6375
789,6410
791,6462
793,4970
793,5268
793,6308
793,6375
794,4859
799,4859
799,7863
800,7666
802,6113
805,6462
807,7494
807,8581
807,9016
807,9028
807,9405
809,9395
811,6156
813,4474
813,5849
813,8695
815,6598
818,6153
819,6804
819,6901
823,6071
824,7494
827,6113
828,8133
829,5455
829,8145
829,8206
829,8382
837,6410
837,8253
840,6901
842,9302
842,9448
846,6059
847,6156
847,6901
848,5191
848,6462
848,7494
849,6901
850,5935
850,7494
851,4859
851,7910
852,7620
853,6462
853,7494
854,9550
856,5088
860,6462
862,9049
865,6156
867,9378
868,6113
868,8441
871,5190
871,8694
875,7589
881,5422
882,7063
883,7323
883,8112
885,6901
887,5786
888,5208
888,6113
889,5382
889,8253
890,4859
892,5422
910,5267
911,6901
913,12063
914,10836
