source,target
4474,13813
4474,13814
4474,13815
4475,13816
4476,13816
4476,13817
4476,13818
4476,13819
4476,13820
4477,13816
4478,13818
4478,13820
4478,13821
4479,13817
4479,13822
4480,13816
4481,13816
4482,13816
4483,13816
4484,13816
4485,13815
4485,13817
4485,13822
4485,13823
4485,13824
4485,13825
4486,13813
4486,13821
4486,13825
4486,13826
4487,13821
4487,13827
4487,13828
4487,13829
4488,13817
4488,13822
4489,13814
4490,13816
4491,13816
4492,13816
4493,13816
4494,13816
4495,13816
4496,13816
4497,13816
4498,13820
4499,13821
4499,13828
4500,13821
4500,13822
4500,13825
4500,13827
4500,13830
4501,13814
4501,13820
4501,13828
4502,13822
4502,13828
4503,13828
4503,13829
4504,13816
4505,13816
4506,13816
4507,13816
4508,13816
4509,13816
4510,13816
4511,13822
4511,13823
4511,13825
4512,13822
4512,13824
4513,13822
4513,13828
4514,13821
4514,13828
4515,13821
4515,13823
4516,13817
4516,13822
4517,13816
4518,13816
4519,13816
4520,13816
4521,13816
4522,13816
4523,13816
4524,13828
4525,13822
4526,13822
4526,13826
4526,13829
4527,13817
4527,13818
4527,13822
4527,13827
4527,13828
4528,13813
4528,13815
4528,13818
4529,13817
4529,13822
4529,13830
4530,13822
4530,13828
4530,13831
4531,13822
4532,13816
4533,13816
4534,13816
4535,13816
4536,13822
4536,13828
4537,13813
4537,13815
4537,13821
4537,13822
4538,13822
4539,13822
4540,13813
4540,13815
4540,13822
4541,13814
4542,13816
4543,13816
4544,13816
4545,13816
4546,13816
4547,13813
4547,13815
4548,13822
4548,13828
4548,13831
4549,13822
4550,13817
4550,13822
4550,13828
4550,13831
4551,13817
4552,13822
4553,13822
4553,13823
4553,13827
4553,13828
4554,13821
4555,13821
4555,13822
4555,13824
4555,13830
4556,13816
4557,13816
4558,13822
4558,13828
4559,13822
4560,13822
4560,13823
4560,13825
4560,13830
4561,13822
4561,13823
4561,13825
4561,13828
4562,13814
4562,13821
4562,13822
4562,13823
4562,13824
4562,13825
4562,13830
4563,13814
4563,13828
4564,13822
4564,13827
4564,13828
4564,13831
4565,13815
4565,13817
4565,13822
4565,13823
4565,13824
4565,13825
4566,13817
4567,13816
4568,13816
4569,13816
4570,13821
4570,13825
4570,13829
4571,13822
4572,13828
4572,13831
4573,13821
4574,13816
4575,13816
4576,13816
4577,13816
4578,13816
4579,13822
4580,13822
4580,13828
4580,13832
4581,13821
4581,13822
4581,13823
4581,13828
4582,13822
4582,13823
4583,13822
4583,13828
4583,13831
4584,13822
4585,13822
4585,13828
4585,13829
4586,13830
4587,13816
4588,13816
4589,13816
4590,13816
4591,13816
4592,13816
4593,13821
4594,13821
4594,13822
4594,13823
4594,13828
4595,13815
4595,13821
4596,13822
4596,13830
4597,13822
4597,13825
4598,13816
4599,13816
4600,13822
4601,13822
4601,13823
4602,13822
4602,13823
4602,13827
4602,13828
4603,13821
4604,13821
4604,13825
4604,13826
4605,13821
4605,13822
4605,13823
4605,13824
4605,13830
4606,13816
4607,13816
4608,13817
4608,13822
4609,13814
4609,13820
4610,13816
4611,13816
4612,13816
4613,13816
4614,13816
4615,13816
4616,13820
4616,13821
4616,13822
4617,13822
4617,13824
4617,13828
4618,13828
4618,13829
4619,13816
4620,13816
4621,13816
4622,13816
4623,13816
4624,13816
4625,13816
4626,13816
4627,13822
4627,13828
4627,13831
4628,13813
4628,13815
4629,13822
4629,13828
4629,13831
4630,13821
4630,13826
4631,13822
4631,13826
4631,13829
