source,target
4474,1981
4474,1984
4474,1985
4474,1988
4474,1993
4474,1995
4474,1998
4474,2000
4474,2007
4474,2015
4474,2031
4474,2032
4474,2044
4474,2045
4474,2048
4474,2050
4474,2051
4474,2052
4474,2054
4474,2055
4474,2057
4474,2059
4474,2060
4474,2070
4474,2075
4474,2076
4474,2078
4474,2079
4474,2080
4474,2086
4474,2088
4474,2091
4474,2093
4474,2101
4474,2102
4474,2108
4474,2114
4474,2116
4474,2123
4474,2125
4474,2127
4474,2128
4474,2129
4474,2133
4474,2138
4474,2140
4474,2147
4474,2150
4474,2155
4474,2156
4474,2157
4474,2159
4474,2168
4474,2172
4474,2186
4474,2188
4474,2190
4474,2191
4474,2193
4474,2198
4474,2200
4474,2201
4474,2214
4474,2216
4474,2224
4474,2229
4474,2241
4474,2242
4474,2245
4474,2251
4474,2252
4474,2253
4474,2256
4474,2259
4474,2261
4474,2262
4474,2274
4474,2276
4474,2277
4474,2278
4474,2279
4474,2283
4474,2286
4474,2287
4474,2292
4474,2297
4474,2298
4474,2299
4474,2306
4474,2307
4474,2310
4474,2314
4474,2319
4474,2327
4474,2331
4474,2338
4474,2346
4474,2351
4474,2352
4474,2358
4474,2362
4474,2364
4474,2367
4474,2369
4474,2370
4474,2373
4474,2376
4474,2382
4474,2385
4474,2397
4474,2398
4474,2400
4474,2409
4474,2411
4474,2416
4474,2417
4474,2419
4474,2427
4474,2428
4474,2432
4474,2433
4474,2434
4474,2436
4474,2444
4474,2446
4474,2447
4474,2454
4474,2463
4474,2468
4474,2480
4474,2483
4474,2489
4474,2491
4474,2494
4474,2495
4474,2503
4474,2508
4474,2511
4474,2520
4474,2529
4474,2538
4474,2541
4474,2542
4474,2543
4474,2546
4474,2553
4474,2555
4474,2561
4474,2563
4474,2565
4474,2567
4474,2573
4474,2574
4474,2576
4474,2578
4474,2584
4474,2588
4474,2593
4474,2597
4474,2604
4474,2605
4474,2615
4474,2618
4474,2625
4474,2628
4474,2634
4474,2635
4474,2640
4474,2641
4474,2642
4474,2644
4474,2646
4474,2648
4474,2649
4474,2654
4474,2668
4474,2672
4474,2674
4474,2689
4474,2699
4474,2700
4474,2702
4474,2705
4474,2719
4474,2725
4474,2726
4474,2727
4474,2728
4474,2730
4474,2738
4474,2739
4474,2741
4474,2744
4474,2747
4474,2748
4474,2750
4474,2756
4474,2757
4474,2758
4474,2761
4474,2763
4474,2771
4474,2773
4474,2774
4474,2777
4474,2779
4474,2785
4474,2788
4474,2790
4474,2791
4474,2795
4474,2796
4474,2805
4474,2807
4474,2812
4474,2814
4474,2816
4474,2820
4474,2822
4474,2830
4474,2833
4474,2842
4474,2843
4474,2851
4474,2852
4474,2854
4474,2857
4474,2859
4474,2863
4474,2877
4474,2879
4474,2880
4474,2884
4474,2885
4474,2891
4474,2894
4474,2896
4474,2900
4474,2904
4474,2905
4474,2907
4474,2915
4474,2920
4474,2932
4474,2933
4474,2934
4474,2936
4474,2937
4474,2938
4474,2948
4474,2949
4474,2951
4474,2952
4474,2956
4474,2960
4474,2965
4474,2968
4474,2972
4474,2976
4474,2978
4474,2980
4474,2982
4474,2984
4474,2986
4474,2996
4474,2999
4474,3006
4474,3014
4474,3016
4474,3018
4474,3020
4474,3024
4474,3033
4474,3035
4474,3039
4474,3040
4474,3044
4474,3046
4474,3047
4474,3049
4474,3050
4474,3051
4474,3063
4474,3078
4474,3080
4474,3084
4474,3088
4474,3089
4474,3095
4474,3097
4474,3107
4474,3112
4474,3126
4474,3128
4474,3130
4474,3137
4474,3139
4474,3142
4474,3150
4474,3164
4474,3165
4474,3168
4474,3169
4474,3171
4474,3175
4474,3178
4474,3180
4474,3185
4476,2832
4477,1978
4477,1988
4477,1993
4477,1995
4477,2018
4477,2041
4477,2048
4477,2061
4477,2064
4477,2065
4477,2075
4477,2078
4477,2081
4477,2091
4477,2097
4477,2101
4477,2108
4477,2113
4477,2130
4477,2134
4477,2136
4477,2138
4477,2144
4477,2146
4477,2152
4477,2156
4477,2160
4477,2170
4477,2171
4477,2177
4477,2185
4477,2191
4477,2194
4477,2207
4477,2208
4477,2211
4477,2213
4477,2229
4477,2236
4477,2238
4477,2253
4477,2259
4477,2264
4477,2266
4477,2285
4477,2286
4477,2287
4477,2297
4477,2298
4477,2308
4477,2314
4477,2317
4477,2327
4477,2333
4477,2341
4477,2343
4477,2346
4477,2352
4477,2355
4477,2367
4477,2384
4477,2395
4477,2397
4477,2399
4477,2408
4477,2409
4477,2422
4477,2446
4477,2465
4477,2477
4477,2480
4477,2482
4477,2508
4477,2521
4477,2539
4477,2557
4477,2558
4477,2564
4477,2565
4477,2574
4477,2576
4477,2580
4477,2608
4477,2627
4477,2637
4477,2638
4477,2653
4477,2655
4477,2658
4477,2671
4477,2674
4477,2705
4477,2709
4477,2711
4477,2719
4477,2727
4477,2744
4477,2747
4477,2756
4477,2757
4477,2761
4477,2766
4477,2780
4477,2790
4477,2820
4477,2843
4477,2892
4477,2893
4477,2900
4477,2907
4477,2933
4477,2934
4477,2938
4477,2948
4477,2951
4477,2959
4477,2960
4477,2966
4477,2976
4477,2978
4477,2983
4477,2989
4477,2992
4477,2996
4477,3000
4477,3004
4477,3017
4477,3018
4477,3019
4477,3028
4477,3033
4477,3034
4477,3044
4477,3050
4477,3078
4477,3087
4477,3118
4477,3121
4477,3126
4477,3127
4477,3150
4477,3156
4477,3158
4477,3165
4477,3169
4477,3172
4477,3182
4479,2266
4479,2583
4481,2331
4481,2387
4482,2001
4482,2361
4483,2178
4485,2372
4486,2565
4487,2115
4491,2485
4492,2277
4492,2495
4492,2641
4492,2719
4494,2485
4498,2873
4499,2880
4500,2307
4502,2130
4502,2485
4502,2571
4502,2709
4502,2776
4502,2887
4503,1976
4503,1978
4503,1988
4503,1995
4503,2001
4503,2027
4503,2041
4503,2044
4503,2045
4503,2048
4503,2058
4503,2064
4503,2071
4503,2078
4503,2101
4503,2108
4503,2129
4503,2130
4503,2135
4503,2136
4503,2143
4503,2147
4503,2160
4503,2167
4503,2170
4503,2190
4503,2191
4503,2196
4503,2228
4503,2234
4503,2236
4503,2237
4503,2253
4503,2258
4503,2259
4503,2264
4503,2266
4503,2271
4503,2274
4503,2277
4503,2287
4503,2290
4503,2309
4503,2312
4503,2313
4503,2314
4503,2319
4503,2322
4503,2327
4503,2328
4503,2352
4503,2363
4503,2391
4503,2408
4503,2409
4503,2433
4503,2434
4503,2438
4503,2465
4503,2480
4503,2492
4503,2557
4503,2564
4503,2565
4503,2573
4503,2598
4503,2604
4503,2617
4503,2627
4503,2641
4503,2644
4503,2650
4503,2653
4503,2665
4503,2666
4503,2668
4503,2672
4503,2674
4503,2677
4503,2680
4503,2681
4503,2683
4503,2691
4503,2700
4503,2709
4503,2719
4503,2725
4503,2727
4503,2732
4503,2734
4503,2742
4503,2747
4503,2756
4503,2757
4503,2766
4503,2780
4503,2788
4503,2791
4503,2793
4503,2807
4503,2824
4503,2832
4503,2856
4503,2872
4503,2893
4503,2903
