drug_id,disease_id,drug_idx,disease_idx
CHEMBL1200656,EFO_1001888,0,6901
CHEMBL1201746,EFO_0000211,1,5904
CHEMBL1231,HP_0000103,2,5868
CHEMBL1231,EFO_1000781,2,8862
CHEMBL2023898,EFO_0004220,5,8253
CHEMBL1091,EFO_0009552,17,6804
CHEMBL1091,EFO_1001888,17,6901
CHEMBL2308885,EFO_1001888,23,6901
CHEMBL24147,EFO_1001888,24,6901
CHEMBL24147,EFO_0003894,24,7494
CHEMBL364713,HP_0012735,27,5422
CHEMBL762,HP_0001742,30,5455
CHEMBL87493,Orphanet_33069,31,10643
CHEMBL112,HP_0100607,34,5750
CHEMBL112,EFO_0010072,34,7946
CHEMBL112,EFO_0007214,34,8774
CHEMBL141,EFO_0000180,37,6410
CHEMBL141,EFO_0004239,37,8857
CHEMBL204656,EFO_0000180,40,6410
CHEMBL2110805,HP_0000103,44,5868
CHEMBL1201460,HP_0004419,54,4859
CHEMBL1201460,EFO_0003907,54,7910
CHEMBL1201666,HP_0004419,56,4859
CHEMBL1504,EFO_0003956,61,8145
CHEMBL1504,EFO_0004274,61,8202
CHEMBL1504,EFO_1001896,61,9210
CHEMBL1742996,Orphanet_163927,65,12649
CHEMBL2108222,HP_0004419,66,4859
CHEMBL2336071,EFO_0003929,67,9538
CHEMBL1051,EFO_1001069,73,9043
CHEMBL1201185,EFO_1001485,74,9551
CHEMBL1201476,HP_0004419,75,4859
CHEMBL1201476,EFO_0003907,75,7910
CHEMBL1286,HP_0002069,76,6013
CHEMBL1433,EFO_0003894,78,7494
CHEMBL1433,EFO_1000760,78,9075
CHEMBL2108147,HP_0004419,80,4859
CHEMBL218490,EFO_1001069,82,9043
CHEMBL259209,EFO_0005687,83,7323
CHEMBL702,EFO_0007149,89,7973
CHEMBL702,EFO_1001459,89,8085
CHEMBL702,EFO_1001312,89,9028
CHEMBL71752,EFO_0003888,90,8694
CHEMBL1200878,HP_0001742,95,5455
CHEMBL1200878,HP_0006536,95,6113
CHEMBL1200878,EFO_0009552,95,6804
CHEMBL1200878,EFO_1001888,95,6901
CHEMBL1201173,EFO_1001888,97,6901
CHEMBL1201833,EFO_0003898,99,8126
CHEMBL1518,HP_0000820,101,6545
CHEMBL1536,HP_0002148,102,4972
CHEMBL1572,EFO_1001888,104,6901
CHEMBL1615438,HP_0001742,106,5455
CHEMBL1983350,Orphanet_33069,107,10643
CHEMBL832,EFO_0004274,117,8202
CHEMBL1200640,EFO_0001070,120,5191
CHEMBL1200640,HP_0001891,120,6462
CHEMBL1200969,EFO_0000284,122,6655
CHEMBL1950576,EFO_1001888,127,6901
CHEMBL2010507,HP_0006536,129,6113
CHEMBL354541,Orphanet_391665,130,10395
CHEMBL636,HP_0000726,136,6059
CHEMBL788,EFO_1001888,138,6901
CHEMBL88055,HP_0006536,140,6113
CHEMBL1095607,HP_0006536,141,6113
CHEMBL1200668,HP_0002901,143,5065
CHEMBL1201632,Orphanet_77261,148,11232
CHEMBL1201632,Orphanet_77259,148,11490
CHEMBL2108078,HP_0002901,151,5065
CHEMBL384467,HP_0001094,155,4858
CHEMBL384467,HP_0012424,155,5421
CHEMBL384467,HP_0001742,155,5455
CHEMBL384467,EFO_0009552,155,6804
CHEMBL384467,EFO_1001888,155,6901
CHEMBL384467,EFO_0004276,155,6920
CHEMBL384467,EFO_0003894,155,7494
CHEMBL384467,EFO_1000941,155,7835
CHEMBL384467,EFO_1001194,155,8123
CHEMBL384467,EFO_0003898,155,8126
CHEMBL384467,EFO_0003956,155,8145
CHEMBL384467,EFO_0004274,155,8202
CHEMBL384467,EFO_0007141,155,8382
CHEMBL384467,EFO_0007160,155,8454
CHEMBL384467,EFO_0007520,155,8564
CHEMBL384467,EFO_1000039,155,8783
CHEMBL384467,EFO_0009456,155,8806
CHEMBL384467,EFO_0007257,155,8859
CHEMBL384467,EFO_1000694,155,9025
CHEMBL384467,EFO_0007403,155,9119
CHEMBL384467,EFO_1000997,155,9190
CHEMBL384467,EFO_1001896,155,9210
CHEMBL384467,EFO_1001051,155,9302
CHEMBL384467,EFO_1001205,155,9435
CHEMBL384467,EFO_1001494,155,9448
CHEMBL809,MONDO_0002009,158,5268
CHEMBL1199324,EFO_0004888,159,7986
CHEMBL1199324,EFO_0006911,159,9503
CHEMBL1266,HP_0001742,163,5455
CHEMBL1900528,HP_0006536,165,6113
CHEMBL1900528,EFO_0006505,165,8441
CHEMBL22108,HP_0000989,167,6199
CHEMBL24,EFO_0003913,169,9586
CHEMBL24778,EFO_0000284,170,6655
CHEMBL1200370,EFO_0003894,182,7494
CHEMBL134,EFO_0003888,185,8694
CHEMBL2364655,Orphanet_391665,187,10395
CHEMBL3989986,Orphanet_447,189,11085
CHEMBL493,EFO_1001485,190,9551
CHEMBL611,EFO_0000284,192,6655
CHEMBL1043,EFO_0003894,193,7494
CHEMBL1200963,EFO_1001069,194,9043
CHEMBL1200963,Orphanet_55654,194,12805
CHEMBL1201265,EFO_0003894,196,7494
CHEMBL1364144,EFO_1000941,198,7835
CHEMBL294199,HP_0002829,205,6156
CHEMBL294199,EFO_1000941,205,7835
CHEMBL294199,EFO_0005762,205,8112
CHEMBL3,EFO_0003768,206,6153
CHEMBL423,EFO_1001069,209,9043
CHEMBL705,HP_0000964,212,6598
CHEMBL1493,HP_0000103,216,5868
CHEMBL1508,MONDO_0002009,217,5268
CHEMBL1517,EFO_1001888,218,6901
CHEMBL218394,EFO_0004220,224,8253
CHEMBL1201513,HP_0004419,232,4859
CHEMBL1201828,Orphanet_447,233,11085
CHEMBL198362,HP_0004419,236,4859
CHEMBL198362,EFO_0003907,236,7910
CHEMBL3301594,EFO_0000180,240,6410
CHEMBL1201064,EFO_0009552,248,6804
CHEMBL1201064,EFO_1001888,248,6901
CHEMBL1201064,EFO_0003894,248,7494
CHEMBL1201724,EFO_1001888,250,6901
CHEMBL1201863,HP_0100633,251,4712
CHEMBL1384,EFO_1001888,254,6901
