,node_index
ENSG00000004948,1975
ENSG00000006071,1976
ENSG00000006638,1977
ENSG00000022355,1978
ENSG00000041357,1979
ENSG00000048462,1980
ENSG00000058085,1981
ENSG00000065325,1982
ENSG00000065883,1983
ENSG00000074181,1984
ENSG00000080824,1985
ENSG00000089041,1986
ENSG00000090266,1987
ENSG00000091831,1988
ENSG00000095464,1989
ENSG00000100346,1990
ENSG00000100567,1991
ENSG00000101162,1992
ENSG00000102755,1993
ENSG00000103035,1994
ENSG00000105329,1995
ENSG00000106628,1996
ENSG00000109390,1997
ENSG00000109971,1998
ENSG00000112033,1999
ENSG00000112115,2000
ENSG00000113161,2001
ENSG00000113851,2002
ENSG00000115252,2003
ENSG00000115353,2004
ENSG00000115705,2005
ENSG00000117971,2006
ENSG00000119888,2007
ENSG00000120242,2008
ENSG00000121853,2009
ENSG00000122025,2010
ENSG00000123496,2011
ENSG00000125675,2012
ENSG00000126067,2013
ENSG00000130433,2014
ENSG00000131203,2015
ENSG00000135914,2016
ENSG00000137252,2017
ENSG00000139567,2018
ENSG00000144744,2019
ENSG00000147885,2020
ENSG00000150337,2021
ENSG00000155511,2022
ENSG00000156973,2023
ENSG00000157103,2024
ENSG00000158125,2025
ENSG00000158748,2026
ENSG00000159164,2027
ENSG00000167658,2028
ENSG00000170425,2029
ENSG00000170759,2030
ENSG00000171552,2031
ENSG00000171631,2032
ENSG00000177283,2033
ENSG00000196811,2034
ENSG00000198049,2035
ENSG00000198851,2036
ENSG00000204174,2037
ENSG00000211891,2038
ENSG00000243772,2039
ENSG00000250506,2040
ENSG00000273079,2041
ENSG00000006116,2042
ENSG00000006283,2043
ENSG00000012779,2044
ENSG00000068024,2045
ENSG00000069764,2046
ENSG00000079459,2047
ENSG00000082701,2048
ENSG00000091181,2049
ENSG00000092969,2050
ENSG00000100311,2051
ENSG00000100387,2052
ENSG00000100652,2053
ENSG00000101076,2054
ENSG00000101188,2055
ENSG00000104267,2056
ENSG00000105146,2057
ENSG00000106804,2058
ENSG00000109339,2059
ENSG00000110195,2060
ENSG00000111424,2061
ENSG00000113070,2062
ENSG00000113263,2063
ENSG00000113327,2064
ENSG00000116329,2065
ENSG00000116745,2066
ENSG00000117400,2067
ENSG00000126218,2068
ENSG00000127922,2069
ENSG00000133742,2070
ENSG00000134259,2071
ENSG00000138823,2072
ENSG00000145545,2073
ENSG00000145692,2074
ENSG00000146648,2075
ENSG00000155760,2076
ENSG00000159377,2077
ENSG00000164305,2078
ENSG00000164692,2079
ENSG00000166483,2080
ENSG00000166501,2081
ENSG00000168065,2082
ENSG00000168522,2083
ENSG00000168539,2084
ENSG00000169418,2085
ENSG00000171105,2086
ENSG00000171189,2087
ENSG00000173511,2088
ENSG00000175868,2089
ENSG00000176387,2090
ENSG00000176890,2091
ENSG00000182326,2092
ENSG00000182578,2093
ENSG00000185324,2094
ENSG00000186090,2095
ENSG00000187010,2096
ENSG00000196591,2097
ENSG00000198336,2098
ENSG00000198695,2099
ENSG00000213619,2100
ENSG00000232810,2101
ENSG00000253729,2102
ENSG00000257365,2103
ENSG00000261456,2104
ENSG00000277791,2105
ENSG00000006432,2106
ENSG00000010322,2107
ENSG00000073756,2108
ENSG00000089558,2109
ENSG00000100479,2110
ENSG00000102854,2111
ENSG00000103855,2112
ENSG00000110721,2113
ENSG00000115008,2114
ENSG00000115221,2115
ENSG00000115594,2116
ENSG00000115825,2117
ENSG00000121594,2118
ENSG00000123545,2119
ENSG00000125356,2120
ENSG00000129159,2121
ENSG00000129484,2122
ENSG00000134318,2123
ENSG00000134489,2124
ENSG00000134871,2125
ENSG00000137875,2126
ENSG00000141867,2127
ENSG00000143387,2128
ENSG00000143799,2129
ENSG00000145864,2130
ENSG00000146242,2131
ENSG00000147684,2132
ENSG00000149554,2133
ENSG00000151577,2134
ENSG00000153956,2135
ENSG00000154188,2136
ENSG00000158104,2137
ENSG00000160712,2138
ENSG00000163464,2139
ENSG00000163558,2140
ENSG00000165025,2141
ENSG00000165264,2142
ENSG00000166206,2143
ENSG00000166736,2144
ENSG00000168229,2145
ENSG00000168356,2146
ENSG00000169083,2147
ENSG00000174175,2148
ENSG00000175054,2149
ENSG00000177455,2150
ENSG00000178084,2151
ENSG00000180914,2152
ENSG00000181019,2153
ENSG00000182389,2154
ENSG00000188257,2155
