id,name,drugType,blackBoxWarning,yearOfFirstApproval,parentId,childChemblIds,linkedDiseases.rows,hasBeenWithdrawn,linkedTargets.rows
CHEMBL1200656,NATAMYCIN,Small molecule,False,1978.0,,,,False,
CHEMBL1201746,PRALATREXATE,Small molecule,False,2009.0,,,"['EFO_0000616' 'EFO_0006859' 'MONDO_0019471' 'MONDO_0008170' 'EFO_0002913'
 'MONDO_0002087' 'EFO_0000305' 'EFO_0003060' 'EFO_0000311' 'EFO_0000211'
 'MONDO_0002158' 'EFO_0003032' 'MONDO_0008903' 'EFO_0000574' 'EFO_1001051'
 'EFO_0001378' 'EFO_0006544' 'EFO_1000785' 'MONDO_0000430']",False,['ENSG00000228716']
CHEMBL1231,OXYBUTYNIN,Small molecule,False,1975.0,,['CHEMBL1133'],"['MONDO_0024290' 'EFO_0006865' 'HP_0001268' 'EFO_0001663' 'EFO_0009562'
 'HP_0001347' 'EFO_0003103' 'EFO_0000512' 'HP_0000020' 'HP_0000975'
 'EFO_1000781' 'EFO_0003918' 'HP_0000011' 'EFO_0003877' 'EFO_0003956'
 'HP_0000103']",False,['ENSG00000133019' 'ENSG00000181072']
CHEMBL139367,PERAMIVIR,Small molecule,False,2014.0,,['CHEMBL3989402'],,False,
CHEMBL1585,PIPOBROMAN,Small molecule,False,1966.0,,,,False,
CHEMBL2023898,DACLATASVIR,Small molecule,True,2015.0,,['CHEMBL2303621'],,False,
CHEMBL3545185,SELINEXOR,Small molecule,False,2019.0,,,"['MONDO_0044903' 'EFO_0001075' 'MONDO_0015686' 'EFO_0000756' 'EFO_0000681'
 'EFO_1001465' 'MONDO_0007254' 'EFO_1000657' 'EFO_0000708' 'EFO_0000305'
 'EFO_0003085' 'EFO_1001459' 'EFO_0000339' 'EFO_0000096' 'EFO_0000389'
 'EFO_1000251' 'MONDO_0020743' 'EFO_0000707' 'MONDO_0002083' 'EFO_0002617'
 'EFO_0000198' 'EFO_0000616' 'EFO_0000220' 'EFO_0001642' 'MONDO_0019457'
 'EFO_0000403' 'EFO_0000222' 'EFO_1001968' 'MONDO_0008315' 'EFO_0003060'
 'EFO_0000211' 'EFO_1000581' 'MONDO_0100096' 'MONDO_0011962' 'EFO_0000702'
 'EFO_0004142' 'EFO_0001378' 'EFO_0000691' 'EFO_0000519']",False,['ENSG00000082898']
CHEMBL4524066,LIRAGLUTIDE,Protein,True,2010.0,,,"['EFO_0000275' 'EFO_0003095' 'MONDO_0002009' 'EFO_0000401' 'EFO_0000249'
 'EFO_1001249' 'HP_0001824' 'EFO_0005924' 'EFO_0004593' 'EFO_0000289'
 'EFO_0003144' 'EFO_0004616' 'MONDO_0015183' 'EFO_0000400' 'EFO_0003877'
 'EFO_0003921' 'EFO_0002546' 'EFO_0005203' 'EFO_0004319' 'EFO_0001074'
 'HP_0002024' 'EFO_0002508' 'EFO_0001073' 'EFO_0000195' 'EFO_1001121'
 'Orphanet_552' 'EFO_0001359' 'HP_0003074' 'EFO_0002614' 'EFO_0000341'
 'EFO_0005611' 'EFO_0001360']",False,['ENSG00000112164']
CHEMBL466659,PENTAERYTHRITOL TETRANITRATE,Small molecule,False,,,,,False,
CHEMBL468,THALIDOMIDE,Small molecule,True,1998.0,,,"['EFO_0000729' 'EFO_1000403' 'EFO_0005543' 'EFO_0000365' 'HP_0012735'
 'EFO_0000756' 'EFO_0000681' 'EFO_0000249' 'EFO_0005952' 'EFO_0000540'
 'HP_0003073' 'Orphanet_85443' 'EFO_1001951' 'EFO_0000565' 'EFO_0007312'
 'EFO_0007160' 'EFO_1000318' 'EFO_0000096' 'EFO_0002690' 'EFO_0000389'
 'MONDO_0008903' 'EFO_0000182' 'EFO_0000676' 'EFO_0000253' 'EFO_1000045'
 'EFO_0009441' 'EFO_0000198' 'MONDO_0008170' 'EFO_0002939' 'EFO_1001968'
 'EFO_0000384' 'MONDO_0008315' 'Orphanet_398934' 'MONDO_0002691'
 'EFO_1001231' 'MONDO_0100096' 'MONDO_0019472' 'EFO_0000574' 'EFO_1000613'
 'EFO_0001378' 'EFO_0000342' 'MONDO_0015564' 'Orphanet_314701'
 'MONDO_0044903' 'EFO_1001984' 'EFO_0001065' 'EFO_1001901' 'EFO_0000768'
 'MONDO_0007254' 'MONDO_0003196' 'EFO_0000373' 'EFO_1001469'
 'MONDO_0021063' 'MONDO_0002087' 'EFO_0002430' 'MONDO_0001056'
 'EFO_1001480' 'MONDO_0002158' 'EFO_0000474' 'EFO_0006888' 'EFO_1001974'
 'EFO_1001996' 'EFO_0000673' 'EFO_0000326' 'EFO_0000183' 'EFO_0003047'
 'EFO_0000717' 'EFO_1000158' 'EFO_0005628' 'Orphanet_797' 'EFO_0000616'
 'EFO_0006859' 'EFO_0000765' 'EFO_0008572' 'EFO_0001645' 'EFO_0000403'
 'EFO_0003898' 'EFO_1001875' 'MONDO_0007576' 'MONDO_0019558' 'EFO_0003843'
 'EFO_0000621' 'EFO_0003060' 'EFO_0000311' 'EFO_0003834' 'EFO_0005570'
 'EFO_0003865' 'EFO_0004268' 'EFO_0000095' 'EFO_1001767' 'EFO_0000764'
 'EFO_0000191' 'EFO_0004142' 'MONDO_0002367' 'MONDO_0018906' 'EFO_0000691'
 'EFO_0000519']",False,['ENSG00000139842' 'ENSG00000113851' 'ENSG00000167986' 'ENSG00000100387']
