,node_index
DOID_7551,4474
HP_0000031,4475
HP_0000857,4476
HP_0012076,4477
MONDO_0003243,4478
MONDO_0030006,4479
HP_0000282,4480
HP_0000520,4481
HP_0000802,4482
HP_0004443,4483
HP_0200055,4484
MONDO_0009213,4485
MONDO_0021116,4486
MONDO_0021487,4487
MONDO_0023692,4488
EFO_0000781,4489
HP_0001310,4490
HP_0001591,4491
HP_0002035,4492
HP_0002576,4493
HP_0008909,4494
HP_0011097,4495
HP_0012430,4496
HP_0012470,4497
MONDO_0002203,4498
MONDO_0004392,4499
MONDO_0012806,4500
MONDO_0024620,4501
MONDO_0032911,4502
EFO_0000713,4503
HP_0003752,4504
HP_0009816,4505
HP_0010689,4506
HP_0010865,4507
HP_0012042,4508
HP_0030303,4509
HP_0032072,4510
MONDO_0008597,4511
MONDO_0010120,4512
MONDO_0010933,4513
MONDO_0016757,4514
MONDO_0044784,4515
MONDO_0054781,4516
HP_0002135,4517
HP_0002571,4518
HP_0004308,4519
HP_0007994,4520
HP_0012390,4521
HP_0012410,4522
HP_0100727,4523
MONDO_0001815,4524
MONDO_0009619,4525
MONDO_0011377,4526
MONDO_0015003,4527
MONDO_0019851,4528
MONDO_0020628,4529
MONDO_0030914,4530
MONDO_0032889,4531
HP_0001660,4532
HP_0002089,4533
HP_0007968,4534
HP_0031458,4535
MONDO_0000030,4536
MONDO_0004166,4537
MONDO_0020841,4538
MONDO_0030060,4539
MONDO_0033565,4540
EFO_0001675,4541
HP_0000327,4542
HP_0000460,4543
HP_0006789,4544
HP_0030190,4545
HP_0030834,4546
MONDO_0001410,4547
MONDO_0009580,4548
MONDO_0010217,4549
MONDO_0014725,4550
MONDO_0024306,4551
MONDO_0033548,4552
MONDO_0054695,4553
EFO_0000174,4554
EFO_0003073,4555
HP_0000200,4556
HP_0000651,4557
MONDO_0012670,4558
MONDO_0013732,4559
MONDO_0014498,4560
MONDO_0014608,4561
MONDO_0019471,4562
MONDO_0021677,4563
MONDO_0032902,4564
MONDO_0044325,4565
EFO_0003075,4566
HP_0000062,4567
HP_0000751,4568
HP_0002904,4569
MONDO_0003143,4570
MONDO_0032755,4571
MONDO_0041086,4572
EFO_0000595,4573
HP_0002153,4574
HP_0005465,4575
HP_0009028,4576
HP_0100813,4577
HP_0200032,4578
MONDO_0009559,4579
MONDO_0015643,4580
MONDO_0017386,4581
MONDO_0030019,4582
MONDO_0030919,4583
MONDO_0032697,4584
