,node_index
CHEMBL1200656,0
CHEMBL1201746,1
CHEMBL1231,2
CHEMBL139367,3
CHEMBL1585,4
CHEMBL2023898,5
CHEMBL3545185,6
CHEMBL4524066,7
CHEMBL466659,8
CHEMBL468,9
CHEMBL471737,10
CHEMBL524,11
CHEMBL850,12
CHEMBL852,13
CHEMBL888,14
CHEMBL900,15
CHEMBL959,16
CHEMBL1091,17
CHEMBL117287,18
CHEMBL1201827,19
CHEMBL1336,20
CHEMBL1619785,21
CHEMBL2105745,22
CHEMBL2308885,23
CHEMBL24147,24
CHEMBL267936,25
CHEMBL3137320,26
CHEMBL364713,27
CHEMBL457299,28
CHEMBL553,29
CHEMBL762,30
CHEMBL87493,31
CHEMBL940,32
CHEMBL979,33
CHEMBL112,34
CHEMBL1201486,35
CHEMBL1233,36
CHEMBL141,37
CHEMBL1449,38
CHEMBL1660,39
CHEMBL204656,40
CHEMBL2108350,41
CHEMBL2108938,42
CHEMBL2109005,43
CHEMBL2110805,44
CHEMBL21731,45
CHEMBL30,46
CHEMBL3545131,47
CHEMBL3707352,48
CHEMBL45029,49
CHEMBL525076,50
CHEMBL567,51
CHEMBL570,52
CHEMBL1201284,53
CHEMBL1201460,54
CHEMBL1201479,55
CHEMBL1201666,56
CHEMBL1201749,57
CHEMBL1237132,58
CHEMBL1257073,59
CHEMBL1484,60
CHEMBL1504,61
CHEMBL1580,62
CHEMBL1581,63
CHEMBL17,64
CHEMBL1742996,65
CHEMBL2108222,66
CHEMBL2336071,67
CHEMBL30116,68
CHEMBL3286830,69
CHEMBL3301587,70
CHEMBL521686,71
CHEMBL70,72
CHEMBL1051,73
CHEMBL1201185,74
CHEMBL1201476,75
CHEMBL1286,76
CHEMBL1366,77
CHEMBL1433,78
CHEMBL1908307,79
CHEMBL2108147,80
CHEMBL2110816,81
CHEMBL218490,82
CHEMBL259209,83
CHEMBL404108,84
CHEMBL434394,85
CHEMBL450,86
CHEMBL464,87
CHEMBL589586,88
CHEMBL702,89
CHEMBL71752,90
CHEMBL750,91
CHEMBL917,92
CHEMBL981,93
CHEMBL1165342,94
CHEMBL1200878,95
CHEMBL1201139,96
CHEMBL1201173,97
CHEMBL1201235,98
CHEMBL1201833,99
CHEMBL1513,100
CHEMBL1518,101
CHEMBL1536,102
CHEMBL1570,103
CHEMBL1572,104
CHEMBL1601,105
CHEMBL1615438,106
CHEMBL1983350,107
CHEMBL2103758,108
CHEMBL2107831,109
CHEMBL38827,110
CHEMBL3989974,111
CHEMBL649,112
CHEMBL728,113
CHEMBL771,114
CHEMBL782,115
CHEMBL818,116
CHEMBL832,117
CHEMBL957,118
CHEMBL1117,119
CHEMBL1200640,120
CHEMBL1200854,121
CHEMBL1200969,122
CHEMBL1200986,123
CHEMBL1201266,124
CHEMBL1201647,125
CHEMBL15891,126
CHEMBL1950576,127
CHEMBL20,128
CHEMBL2010507,129
CHEMBL354541,130
CHEMBL3707227,131
CHEMBL465026,132
CHEMBL53463,133
CHEMBL537,134
CHEMBL558,135
CHEMBL636,136
CHEMBL747,137
CHEMBL788,138
CHEMBL848,139
CHEMBL88055,140
CHEMBL1095607,141
CHEMBL1115,142
CHEMBL1200668,143
CHEMBL1201191,144
CHEMBL1201356,145
CHEMBL1201497,146
CHEMBL1201556,147
CHEMBL1201632,148
CHEMBL1495,149
CHEMBL1614637,150
CHEMBL2108078,151
