id,approvedName,bioType,proteinAnnotations.functions,reactome
ENSG00000004948,calcitonin receptor,protein_coding,"['This is a receptor for calcitonin. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. The calcitonin receptor is thought to couple to the heterotrimeric guanosine triphosphate-binding protein that is sensitive to cholera toxin.'
 'Receptor for calcitonin but is unable to couple to G proteins and activate adenylyl cyclase (PubMed:7476993). Does not undergo receptor internalization following ligand binding (PubMed:7476993).']",['R-HSA-418555' 'R-HSA-419812' 'R-HSA-9660821']
ENSG00000006071,ATP binding cassette subfamily C member 8,protein_coding,['Subunit of the beta-cell ATP-sensitive potassium channel (KATP). Regulator of ATP-sensitive K(+) channels and insulin release.'],['R-HSA-1296025' 'R-HSA-422356' 'R-HSA-5683177']
ENSG00000006638,thromboxane A2 receptor,protein_coding,"['Receptor for thromboxane A2 (TXA2), a potent stimulator of platelet aggregation. The activity of this receptor is mediated by a G-protein that activates a phosphatidylinositol-calcium second messenger system. In the kidney, the binding of TXA2 to glomerular TP receptors causes intense vasoconstriction. Activates phospholipase C. Isoform 1 activates adenylyl cyclase. Isoform 2 inhibits adenylyl cyclase.']",['R-HSA-391908' 'R-HSA-416476' 'R-HSA-416482' 'R-HSA-428930']
ENSG00000022355,gamma-aminobutyric acid type A receptor subunit alpha1,protein_coding,"['Ligand-gated chloride channel which is a component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the brain (PubMed:23909897, PubMed:25489750, PubMed:29950725). Plays an important role in the formation of functional inhibitory GABAergic synapses in addition to mediating synaptic inhibition as a GABA-gated ion channel (PubMed:23909897, PubMed:25489750). The gamma2 subunit is necessary but not sufficient for a rapid formation of active synaptic contacts and the synaptogenic effect of this subunit is influenced by the type of alpha and beta subunits present in the receptor pentamer (By similarity). The alpha1/beta2/gamma2 receptor and the alpha1/beta3/gamma2 receptor exhibit synaptogenic activity (PubMed:23909897, PubMed:25489750). GABRA1-mediated plasticity in the orbitofrontal cortex regulates context-dependent action selection (By similarity). Functions also as histamine receptor and mediates cellular responses to histamine (By similarity).']",['R-HSA-1236394' 'R-HSA-977443']
ENSG00000041357,proteasome 20S subunit alpha 4,protein_coding,"['Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing proteins whose functions are no longer required. Associated with the PA200 or PA28, the 20S proteasome mediates ubiquitin-independent protein degradation. This type of proteolysis is required in several pathways including spermatogenesis (20S-PA200 complex) or generation of a subset of MHC class I-presented antigenic peptides (20S-PA28 complex).']","['R-HSA-1169091' 'R-HSA-1234176' 'R-HSA-1236974' 'R-HSA-1236978'
 'R-HSA-174084' 'R-HSA-174113' 'R-HSA-174154' 'R-HSA-174178'
 'R-HSA-174184' 'R-HSA-180534' 'R-HSA-180585' 'R-HSA-187577'
 'R-HSA-195253' 'R-HSA-202424' 'R-HSA-211733' 'R-HSA-2467813'
 'R-HSA-2871837' 'R-HSA-349425' 'R-HSA-350562' 'R-HSA-382556'
 'R-HSA-450408' 'R-HSA-4608870' 'R-HSA-4641257' 'R-HSA-4641258'
 'R-HSA-5358346' 'R-HSA-5362768' 'R-HSA-5607761' 'R-HSA-5607764'
 'R-HSA-5610780' 'R-HSA-5610783' 'R-HSA-5610785' 'R-HSA-5632684'
 'R-HSA-5658442' 'R-HSA-5668541' 'R-HSA-5676590' 'R-HSA-5678895'
 'R-HSA-5687128' 'R-HSA-5689603' 'R-HSA-5689880' 'R-HSA-68827'
 'R-HSA-68949' 'R-HSA-69017' 'R-HSA-69481' 'R-HSA-69601' 'R-HSA-75815'
 'R-HSA-8852276' 'R-HSA-8854050' 'R-HSA-8939236' 'R-HSA-8939902'
 'R-HSA-8941858' 'R-HSA-8948751' 'R-HSA-8951664' 'R-HSA-9010553'
 'R-HSA-9020702' 'R-HSA-9604323' 'R-HSA-983168']"
ENSG00000048462,TNF receptor superfamily member 17,protein_coding,['Receptor for TNFSF13B/BLyS/BAFF and TNFSF13/APRIL. Promotes B-cell survival and plays a role in the regulation of humoral immunity. Activates NF-kappa-B and JNK.'],['R-HSA-5669034']
ENSG00000058085,laminin subunit gamma 2,protein_coding,"['Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Ladsin exerts cell-scattering activity toward a wide variety of cells, including epithelial, endothelial, and fibroblastic cells.']","['R-HSA-1474228' 'R-HSA-2022090' 'R-HSA-2214320' 'R-HSA-3000157'
 'R-HSA-3000171' 'R-HSA-446107' 'R-HSA-8874081']"
ENSG00000065325,glucagon like peptide 2 receptor,protein_coding,['This is a receptor for glucagon-like peptide 2. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.'],['R-HSA-418555' 'R-HSA-420092' 'R-HSA-9660821']
ENSG00000065883,cyclin dependent kinase 13,protein_coding,"[""Cyclin-dependent kinase which displays CTD kinase activity and is required for RNA splicing. Has CTD kinase activity by hyperphosphorylating the C-terminal heptapeptide repeat domain (CTD) of the largest RNA polymerase II subunit RPB1, thereby acting as a key regulator of transcription elongation. Required for RNA splicing, probably by phosphorylating SRSF1/SF2. Required during hematopoiesis. In case of infection by HIV-1 virus, interacts with HIV-1 Tat protein acetylated at 'Lys-50' and 'Lys-51', thereby increasing HIV-1 mRNA splicing and promoting the production of the doubly spliced HIV-1 protein Nef.""]",['R-HSA-6796648' 'R-HSA-6798695']
ENSG00000074181,notch receptor 3,protein_coding,"['Functions as a receptor for membrane-bound ligands Jagged1, Jagged2 and Delta1 to regulate cell-fate determination (PubMed:15350543). Upon ligand activation through the released notch intracellular domain (NICD) it forms a transcriptional activator complex with RBPJ/RBPSUH and activates genes of the enhancer of split locus. Affects the implementation of differentiation, proliferation and apoptotic programs (By similarity).']","['R-HSA-1912399' 'R-HSA-1912408' 'R-HSA-1912420' 'R-HSA-350054'
 'R-HSA-5083630' 'R-HSA-9013507' 'R-HSA-9013508' 'R-HSA-9017802']"
